"frozenset({'Rhode Island', 'Boston College'})",-6.75,-6
"frozenset({'Bucknell', 'Rider'})",5.75,-6
"frozenset({'UC-Davis', 'Pacific'})",-4.75,-10
"frozenset({'Central Florida', 'Temple'})",18.25,-4
"frozenset({'North Carolina-Asheville', 'Chattanooga'})",28.75,5
"frozenset({'Tennessee Tech', 'Chattanooga'})",5.75,17
"frozenset({'South Carolina State', 'The Citadel'})",-13.25,17
"frozenset({'Clemson', 'Virginia'})",18.25,-10
"frozenset({'Cleveland State', 'Purdue-Fort Wayne'})",7.75,7
"frozenset({'Northeastern', 'Colgate'})",5.75,-5
"frozenset({'College of Charleston', 'Tulane'})",2.75,14
"frozenset({'Creighton', 'Villanova'})",18.75,-34
"frozenset({'Southern Utah', 'Dixie State'})",5.75,-28
"frozenset({'Old Dominion', 'East Carolina'})",13,1
"frozenset({'North Carolina Central', 'Gardner-Webb'})",23.75,-1
"frozenset({'Hampton', 'Norfolk State'})",-9,1
"frozenset({'Iona', 'Marist'})",8.25,3
"frozenset({'Lamar', 'Sam Houston State'})",-9.75,-17
"frozenset({'UCLA', 'Cal State Long Beach'})",-19.75,-18
"frozenset({'Louisiana-Monroe', 'Northwestern State'})",28.75,13
"frozenset({'North Carolina State', 'Louisville'})",6.25,-16
"frozenset({'Marist', 'Rider'})",13.25,-4
"frozenset({'Maryland', 'Northwestern'})",-7.25,7
"frozenset({'Michigan State', 'Minnesota'})",9.25,2
"frozenset({'Tennessee-Martin', 'Middle Tennessee'})",10.75,9
"frozenset({'Mississippi Valley State', 'Nicholls State'})",-16.25,-31
"frozenset({'Montana State', 'Portland'})",3,2
"frozenset({'Texas-El Paso', 'New Mexico State'})",4.75,3
"frozenset({'New Mexico', 'New Mexico State'})",8.25,-2
"frozenset({'Niagara', 'Quinnipiac'})",-7.75,10
"frozenset({'Texas-Rio Grande Valley', 'Northern Arizona'})",2,-2
"frozenset({'Ohio State', 'Wisconsin'})",16.75,-10
"frozenset({'South Alabama', 'Tarleton State'})",5.75,-13
"frozenset({'Texas-Rio Grande Valley', 'Texas A&M-Corpus Christi'})",7.25,6
"frozenset({'Xavier', 'Villanova'})",11.75,4
"frozenset({'Presbyterian', 'VMI'})",-0.25,5
